id;transaction_type;amount;transaction_date;source_type;destination_type;status
1;DEPOSIT;59208;2024-11-17T01:15:27;USER;USER;WAITING
2;DEPOSIT;61420;2024-11-16T22:00:20;USER;PROVIDER;DECLINE
3;WITHDRAWAL;99553;2024-11-16T10:29:57;USER;BANK;IN_PROGRESS
4;TRANSFER;83454;2024-11-16T10:41:07;BANK;PROVIDER;IN_PROGRESS
5;DEPOSIT;40665;2024-11-16T22:06:13;USER;USER;SUCCESS
6;TRANSFER;38347;2024-11-16T23:48:49;USER;USER;SUCCESS
7;WITHDRAWAL;73402;2024-11-16T09:25:12;PROVIDER;USER;IN_PROGRESS
8;DEPOSIT;87884;2024-11-17T02:23:50;USER;BANK;WAITING
9;WITHDRAWAL;97190;2024-11-17T06:58:46;USER;PROVIDER;SUCCESS
10;WITHDRAWAL;59276;2024-11-16T13:13:57;BANK;PROVIDER;DECLINE
